mu,kappa,theta,sigma,rho,lambda,mu_j,sig_j
-0.34561080328694294,0.5436253849135698,0.046073523312425924,0.01007209207185263,-0.15788791973659136,1.2025505452861575e-111,-0.3107927123925793,3.162277660168379e-08
-0.5417254635184776,0.47640415649026263,0.04303139421459718,0.01103071189016932,-0.16489097890960402,1.0,-0.3107927128774584,3.162277660168379e-08
-0.8371426694972587,2.489724991064184,0.04562309675966759,0.010953752410294365,-0.15073739075246648,2.140400780626656e-118,-0.31079271149537974,3.162277660168379e-08
-0.34965532217207296,1.6035623555009733,0.04461444003022994,0.01066020317052239,-0.18023564908364278,1.0,-0.310792719168558,3.162277660168379e-08
-0.6923142761056809,2.4600949933494776,0.04626812214247079,0.010281666362423607,-0.16221326522070054,1.9074740687105752e-127,-0.3107927194106347,3.162277660168379e-08
-0.6305168902746697,0.47567593173575035,0.04708044209800771,0.010605341986207596,-0.2669185808089798,0.9999999999999998,-0.3107927202419905,3.162277660168379e-08
-0.8044568611735823,0.2054854351335287,0.04784338611581238,0.009998255367111533,-0.20541304347237033,9.380298665295054e-122,-0.31079271784700946,3.162277660168379e-08
-0.2411091685346032,0.7754508201317757,0.04841738242510198,0.011650185319423082,-0.21878623406675757,1.0,-0.3107927191821224,3.162277660168379e-08
-0.47635751958410705,1.5749803415048567,0.05000969580929524,0.011737805250249197,-0.17846959202346604,1.8389477102511323e-112,-0.31079272029802135,3.162277660168379e-08
-0.37920225313200784,1.2007093633442765,0.05199077322127834,0.011314221146485982,-0.2769703416518731,1.0000000000000002,-0.3107927131152928,3.162277660168379e-08
0.03271942879002876,0.9985527629508008,0.044598708516286,0.011287461740146295,-0.14848196652340026,1.531165965290277e-111,-0.310792714837574,3.162277660168379e-08
-0.2695237398176673,1e-06,0.05259992068248499,0.010577963898151547,-0.14089507131656484,1.0,-0.3107927083527858,3.162277660168379e-08
-0.5676948408136364,0.329711651365992,0.037195220460858505,0.010715522554152344,-0.18391486690996076,1.8098513460433682e-120,-0.31079270147475335,3.162277660168379e-08
-0.5531877346195316,1.3956584021168006,0.043546178747189884,0.011820831993856709,-0.2020369139497751,1.0,-0.3107927008770186,3.162277660168379e-08
-0.5980941353021801,1.0162665387520537,0.04204620395533996,0.010862501622628003,-0.10555303040330728,3.496302975424445e-125,-0.31079270065937203,3.162277660168379e-08
-0.33071496866057226,1e-06,0.04171634294330446,0.010348583823694957,-0.16040651664439362,1.0,-0.310792696834682,3.162277660168379e-08
-0.9694350766090626,0.6657305585897982,0.04145074494422682,0.010261949978207606,-0.20066868451441303,6.010606782670817e-139,-0.31079270304130513,3.162277660168379e-08
-0.3709234785687201,0.9660711747602955,0.0363814734853505,0.010629025913271624,-0.19647455033754077,0.9999999999999999,-0.310792715266583,3.162277660168379e-08
-0.5301614959115647,0.0636846872749044,1e-06,0.010797287826511029,-0.17232519113194636,3.556559098406334e-141,-0.31079270997603486,3.162277660168379e-08
-0.7270726129617467,2.1773134886578736,0.037998395409243435,0.011039393888237933,-0.14965811770788195,1.0,-0.3107927061564963,3.162277660168379e-08
-0.4927986606662566,0.8346213402308902,0.04433006655994017,0.01058926360369527,-0.09385464431120473,2.662310543237693e-149,-0.3107927016855669,3.162277660168379e-08
-0.18011213862468034,1.189819575408493,0.04674540792404056,0.010763534031903462,-0.1278755599729099,1.0,-0.31079269588142144,3.162277660168379e-08
-0.6814420576879553,0.24767021756397836,0.047113890641687806,0.010232810330231481,-0.17180049845739614,1.0324782233766644e-121,-0.310792690727317,3.162277660168379e-08
-0.43303052798064373,1.003331324926628,0.04056978455543773,0.011694860922412715,-0.14863421612754213,1.0,-0.3107926915507954,3.162277660168379e-08
-1.069484530225049,1.826176666478791,0.041435371607505815,0.011167948270059963,-0.13809294498675112,1.0128693332566899e-132,-0.3107926947464988,3.162277660168379e-08
-0.8099278890079801,1e-06,0.042371034044611844,0.010688309082747186,-0.2269937617259203,1.0,-0.3107926842817348,3.162277660168379e-08
-0.623210753756394,3.0098259037037587,0.04025972194981515,0.011011593937064355,-0.08743542830176056,1.22898166255164e-141,-0.310792680845165,3.162277660168379e-08
-0.5430217403164816,2.539735948537139,0.040286051044906325,0.010389211926609484,-0.1332219789330825,1.0,-0.3107926840639497,3.162277660168379e-08
-0.4276000937874512,1.2856317980434362,0.03709568157856718,0.010903658334021996,-0.0802566686727503,2.1515423042259378e-138,-0.31079268172620067,3.162277660168379e-08
-0.3052207762616572,0.8801108186083307,0.037811583285493576,0.01012278527316202,-0.21889487927906842,0.9999999999999999,-0.3107926807384451,3.162277660168379e-08
-0.49839862468807367,0.29555701215893226,0.022549617253381334,0.010971245498557457,-0.13594900100778515,3.304061801223481e-146,-0.31079268067185334,3.162277660168379e-08
-0.30492466457200895,2.0399683423175508,0.03506727867447522,0.010648416904975097,-0.1754862938400485,1.0000000000000002,-0.31079268492220025,3.162277660168379e-08
